"Var1" "Var2" "type"
"877" "783" "752" "SG"
"878" "784" "752" "SG"
"879" "776" "752" "SG"
"880" "712" "752" "SG"
"881" "709" "752" "SG"
"882" "723" "752" "SG"
"883" "724" "752" "SG"
"884" "780" "752" "SG"
"885" "657" "751" "SG"
"886" "675" "751" "SG"
"887" "678" "751" "SG"
"888" "651" "751" "SG"
"889" "669" "751" "SG"
"890" "702" "751" "SG"
"891" "700" "751" "SG"
"892" "704" "751" "SG"
"893" "697" "751" "SG"
"894" "720" "751" "SG"
"895" "665" "751" "SG"
"896" "653" "751" "SG"
"897" "661" "751" "SG"
"898" "682" "751" "SG"
"899" "663" "751" "SG"
"900" "673" "751" "SG"
"901" "737" "751" "SG"
"902" "679" "751" "SG"
"903" "666" "751" "SG"
"904" "695" "751" "SG"
"905" "685" "751" "SG"
"906" "771" "751" "SG"
"907" "715" "751" "SG"
"908" "765" "751" "SG"
"909" "667" "751" "SG"
"910" "775" "751" "SG"
"911" "761" "751" "SG"
"912" "689" "751" "SG"
"913" "773" "751" "SG"
"914" "659" "751" "SG"
"915" "671" "751" "SG"
"916" "774" "751" "SG"
"917" "731" "751" "SG"
"918" "692" "751" "SG"
"919" "706" "751" "SG"
"920" "793" "751" "SG"
"921" "785" "751" "SG"
"922" "772" "751" "SG"
"923" "754" "751" "SG"
"924" "730" "751" "SG"
"925" "760" "751" "SG"
"926" "790" "751" "SG"
"927" "794" "751" "SG"
"928" "788" "751" "SG"
"929" "783" "751" "SG"
"930" "784" "751" "SG"
"931" "776" "751" "SG"
"932" "712" "751" "SG"
"933" "709" "751" "SG"
"934" "723" "751" "SG"
"935" "724" "751" "SG"
"936" "780" "751" "SG"
"937" "657" "736" "SG"
"938" "675" "736" "SG"
"939" "678" "736" "SG"
"940" "651" "736" "SG"
"941" "669" "736" "SG"
"942" "702" "736" "SG"
"943" "700" "736" "SG"
"944" "704" "736" "SG"
"945" "697" "736" "SG"
"946" "720" "736" "SG"
"947" "665" "736" "SG"
"948" "653" "736" "SG"
"949" "661" "736" "SG"
"950" "682" "736" "SG"
"951" "663" "736" "SG"
"952" "673" "736" "SG"
"953" "737" "736" "SG"
"954" "679" "736" "SG"
"955" "666" "736" "SG"
"956" "695" "736" "SG"
"957" "685" "736" "SG"
"958" "771" "736" "SG"
"959" "715" "736" "SG"
"960" "765" "736" "SG"
"961" "667" "736" "SG"
"962" "775" "736" "SG"
"963" "761" "736" "SG"
"964" "689" "736" "SG"
"965" "773" "736" "SG"
"966" "659" "736" "SG"
"967" "671" "736" "SG"
"968" "774" "736" "SG"
"969" "731" "736" "SG"
"970" "692" "736" "SG"
"971" "706" "736" "SG"
"972" "793" "736" "SG"
"973" "785" "736" "SG"
"974" "772" "736" "SG"
"975" "754" "736" "SG"
"976" "730" "736" "SG"
"977" "760" "736" "SG"
"978" "790" "736" "SG"
"979" "794" "736" "SG"
"980" "788" "736" "SG"
"981" "783" "736" "SG"
"982" "784" "736" "SG"
"983" "776" "736" "SG"
"984" "712" "736" "SG"
"985" "709" "736" "SG"
"986" "723" "736" "SG"
"987" "724" "736" "SG"
"988" "780" "736" "SG"
"989" "657" "672" "SG"
"990" "675" "672" "SG"
"991" "678" "672" "SG"
"992" "651" "672" "SG"
"993" "669" "672" "SG"
"994" "702" "672" "SG"
